Source,Target,Specialisation,Surname
Dr Timofey Agarin,"School of Politics, International Studies and Philosophy",,Agarin
Dr Trevor Agus,Music and Sonic Arts,,Agus
Prof Michael Alcorn,Music and Sonic Arts,Composition ,Alcorn
Prof Jean Allain,School of Law,"International Law, Trafficking, Food Security",Allain
Dr Joe Allen,School of Education,,Allen
Dr Véronique Altglas,"School of Sociology, Social Policy and Social Work",Sociology,Altglas
Dr Merav Amir,"School of Geography, Archaeology and Paleoecology","Space, Society and Culture",Amir
Dr Janet Carter Anand,"School of Sociology, Social Policy and Social Work",Social Work,Anand
Prof James Anderson,"School of Geography, Archaeology and Paleoecology","Space, Society and Culture",Anderson
Prof Jack Anderson,School of Law,"Sports Law, Law of Torts, Alternative Dispute Resolution",Anderson
Dr Stefan Andreasson,"School of Politics, International Studies and Philosophy",,Andreasson
Dr Aglaia De Angeli,School of History and Anthropology,World History,Angeli
Prof Gordon Anthony,School of Law,"Administrative Law, Constitutional Law",Anthony
Dr Billy Melo Araujo,School of Law,,Araujo
Professor David Archard,"School of Politics, International Studies and Philosophy",,Archard
Michael Arlow,School of Education,,Arlow
Dr Mohsen Al Attar,School of Law,,Attar
Prof Margot Backus,School of English,Fullbright Scholar,Backus
Prof Mike Baillie,"School of Geography, Archaeology and Paleoecology",Environmental Change,Baillie
Dr Andrew Baker,"School of Politics, International Studies and Philosophy",,Baker
Dr Sian Barber,Film,Film Studies,Barber
Dr Iestyn Barr,"School of Geography, Archaeology and Paleoecology",Environmental Change,Barr
Prof John Barry,"School of Politics, International Studies and Philosophy",,Barry
Dr Stefano Baschiera,Film,Film Studies,Baschiera
Dr Laura Basell,"School of Geography, Archaeology and Paleoecology",Past Cultural Change,Basell
Prof Keith Bennett,"School of Geography, Archaeology and Paleoecology",Environmental Change,Bennett
Dr Andy Biggart,School of Education,,Biggart
Dr Maarten Blaauw,"School of Geography, Archaeology and Paleoecology",Environmental Change,Blaauw
Dr Piotr Blumczynski,School of Modern Languages,Translation and Interpreting (Internationalisation Champion - Joint),Blumczynski
Prof Frederick Boal,"School of Geography, Archaeology and Paleoecology","Space, Society and Culture",Boal
Dr Mike Bourne,"School of Politics, International Studies and Philosophy",,Bourne
Dr Sarah Bowskill,School of Modern Languages,Spanish & Portuguese Studies,Bowskill
Dr Manu Braganca,School of History and Anthropology,European History (post-1500),Braganca
Dr Dirk Brandherm ,"School of Geography, Archaeology and Paleoecology",Past Cultural Change,Brandherm
Prof Fran Brearton,School of English,Modern Irish and British Literature,Brearton
Dr Keith Breen,"School of Politics, International Studies and Philosophy",,Breen
Dr Kevin J Brown,School of Law,"Criminal Justice, Community Safety, Criminal Law",Brown
